study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA512012	SAMN10656708	SRX5185425	SRR8375371	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/001/SRR8375371/SRR8375371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/001/SRR8375371/SRR8375371_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/001/SRR8375371
PRJNA512012	SAMN10656707	SRX5185426	SRR8375372	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/002/SRR8375372/SRR8375372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/002/SRR8375372/SRR8375372_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/002/SRR8375372
PRJNA512012	SAMN10656703	SRX5185427	SRR8375373	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/003/SRR8375373/SRR8375373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/003/SRR8375373/SRR8375373_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/003/SRR8375373
PRJNA512012	SAMN10656702	SRX5185428	SRR8375374	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/SRR8375374/SRR8375374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/004/SRR8375374/SRR8375374_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/004/SRR8375374
PRJNA512012	SAMN10656701	SRX5185429	SRR8375375	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/SRR8375375/SRR8375375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/005/SRR8375375/SRR8375375_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/005/SRR8375375
PRJNA512012	SAMN10656700	SRX5185430	SRR8375376	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/SRR8375376/SRR8375376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/006/SRR8375376/SRR8375376_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/006/SRR8375376
PRJNA512012	SAMN10656699	SRX5185431	SRR8375377	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/007/SRR8375377/SRR8375377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/007/SRR8375377/SRR8375377_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/007/SRR8375377
PRJNA512012	SAMN10656698	SRX5185448	SRR8375378	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/008/SRR8375378/SRR8375378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/008/SRR8375378/SRR8375378_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/008/SRR8375378
PRJNA512012	SAMN10656697	SRX5185449	SRR8375379	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/009/SRR8375379/SRR8375379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/009/SRR8375379/SRR8375379_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/009/SRR8375379
PRJNA512012	SAMN10656696	SRX5185450	SRR8375380	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/000/SRR8375380/SRR8375380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR837/000/SRR8375380/SRR8375380_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR837/000/SRR8375380
